0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:03 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:03 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:03 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49119
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:04 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:04 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:04 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49119
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:04 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:04 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:18 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49118
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:18 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:11:18 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:13:53 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49119
0:0:0:0:0:0:0:1 - - [23/May/2023:12:13:53 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:13:53 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:14:43 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49171
0:0:0:0:0:0:0:1 - - [23/May/2023:12:14:43 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:14:43 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:14:57 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49170
0:0:0:0:0:0:0:1 - - [23/May/2023:12:14:57 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:14:57 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:10 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49171
